Author,Work,Lines,Words,Bytes
Adolfo Caminha,A Normalista.txt,7181,60405,404153
Adolfo Caminha,Bom Crioulo.txt,4301,35471,243404
Adolfo Caminha,No pais dos ianques.txt,2592,22512,157866
Adolfo Caminha,Tentacao.txt,5026,40256,275727
Aluisio Azevedo,A Condessa Vesper.txt,10931,103600,629012
Aluisio Azevedo,A Mortalha de Alzira.txt,6401,51306,333173
Aluisio Azevedo,Casa de pensao.txt,7356,94909,619799
Aluisio Azevedo,Demonios.txt,1431,8565,53778
Aluisio Azevedo,Filomena Borges.txt,4635,53438,353879
Aluisio Azevedo,Girandola de amores.txt,8075,94464,584429
Aluisio Azevedo,"Mattos, Malta ou Matta.txt",2856,19546,114743
Aluisio Azevedo,O Cortico.txt,9032,80077,520340
Aluisio Azevedo,O Esqueleto.txt,3767,20384,125468
Aluisio Azevedo,O Homem.txt,2710,18872,114810
Aluisio Azevedo,O Japao.txt,2356,24026,149095
Aluisio Azevedo,O Livro de uma Sogra.txt,3577,52794,326388
Aluisio Azevedo,O Mulato.txt,14352,94123,609394
Aluisio Azevedo,O Touro Negro.txt,94,771,4878
Aluisio Azevedo,Uma Lagrima de Mulher.txt,3851,32710,218738
Bernardo Guimaraes,A Danca dos Ossos.txt,705,6646,41301
Bernardo Guimaraes,A Escrava Isaura.txt,5602,53073,347131
Bernardo Guimaraes,Historias e Tradicoes da Provincia de Minas Gerais.txt,4780,45147,286481
Bernardo Guimaraes,O Ermitao de Muquem.txt,5166,46179,300129
Bernardo Guimaraes,O Garimpeiro.txt,3721,44391,259150
Bernardo Guimaraes,O Seminarista.txt,5599,38478,235092
Joaquim Manuel de Macedo,A Moreninha.txt,4900,46518,280306
Joaquim Manuel de Macedo,Amor e Patria.txt,927,6387,46592
Joaquim Manuel de Macedo,Antonica da Silva.txt,1987,13077,104299
Joaquim Manuel de Macedo,As Mulheres de Mantilha.txt,8573,67214,458134
Joaquim Manuel de Macedo,As Vitima-Algozes.txt,10244,94709,638530
Joaquim Manuel de Macedo,Luneta Magica.txt,7751,54652,373811
Joaquim Manuel de Macedo,Luxo e Vaidade.txt,2697,21111,139714
Joaquim Manuel de Macedo,Memorias da Rua do Ouvidor.txt,10044,58796,365131
Joaquim Manuel de Macedo,O Moco Loiro.txt,10656,117148,744616
Joaquim Manuel de Macedo,O Primo da California.txt,2044,14316,105358
Joaquim Manuel de Macedo,Os Dois Amores.txt,11737,99960,663541
Joaquim Manuel de Macedo,Os Romances da Semana.txt,9764,57134,356383
Joaquim Manuel de Macedo,Remissao de Pecados.txt,2431,18466,139392
Joaquim Manuel de Macedo,Romance de uma Velha.txt,2178,17228,123617
Joaquim Manuel de Macedo,Uma Pupila Rica.txt,7821,18672,185410
Jose de Alencar,A Alma do Lazaro.txt,2641,11842,71287
Jose de Alencar,Alfarrabios_O Ermitao da Gloria.txt,5246,28845,179846
Jose de Alencar,Ao Correr da Pena.txt,7919,88380,563710
Jose de Alencar,A Pata da Gazela.txt,4017,34617,229200
Jose de Alencar,As Minas de Prata.txt,13579,64897,401525
Jose de Alencar,A Viuvinha.txt,1738,17474,106277
Jose de Alencar,Cinco Minutos.txt,1752,14339,93756
Jose de Alencar,Diva.txt,3089,28848,219870
Jose de Alencar,Encarnacao.txt,3294,29543,189845
Jose de Alencar,Iracema.txt,2132,24994,153461
Jose de Alencar,Luciola.txt,5611,45607,297161
Jose de Alencar,Mae.txt,6839,18016,109909
Jose de Alencar,O Demonio Familiar.txt,5923,18235,115108
Jose de Alencar,O Garatuja.txt,2772,32372,199973
Jose de Alencar,O Gaucho.txt,6443,71685,451322
Jose de Alencar,O Guarani.txt,9640,107589,638264
Jose de Alencar,O que e o casamento.txt,2939,22281,140562
Jose de Alencar,O Rio de Janeiro Verso e Reverso.txt,1479,10746,68264
Jose de Alencar,O Sertanejo.txt,8028,93427,586214
Jose de Alencar,Senhora.txt,6364,76317,458975
Jose de Alencar,Sonhos D'oro.txt,5474,72389,432503
Jose de Alencar,Til.txt,7562,69437,431142
Jose de Alencar,Ubirajara.txt,2800,22841,147829
Machado de Assis,A Mao e a Luva.txt,4001,35013,211904
Machado de Assis,Casa Velha.txt,2764,22011,132751
Machado de Assis,Contos Fluminenses.txt,9292,55740,342808
Machado de Assis,Dom Casmurro.txt,7801,65310,391971
Machado de Assis,Esau e Jaco.txt,8274,71335,429200
Machado de Assis,Helena.txt,8481,55658,340956
Machado de Assis,Historias da Meia-Noite.txt,5891,41351,253466
Machado de Assis,Historias Sem Data.txt,5334,49999,303915
Machado de Assis,Iaia Garcia.txt,6375,56086,340434
Machado de Assis,Memorial de Aires.txt,6514,50153,295972
Machado de Assis,Memorias Postumas de Bras Cubas.txt,6081,59779,360614
Machado de Assis,Paginas Recolhidas.txt,1956,22126,132032
Machado de Assis,Papeis Avulsos.txt,4687,53346,322971
Machado de Assis,Quincas Borba.txt,6797,74918,451141
Machado de Assis,Reliquias de Casa Velha.txt,2560,29032,171744
Machado de Assis,Ressurreicao.txt,3474,35861,216593
Machado de Assis,Varias Historias.txt,3718,43061,256263
Manuel Antonio de Almeida,Memorias de um Sargento de Milicias.txt,4773,59185,350555
